Benchmark Diffy Vajra VeriAbs VIAP
cond1f.c 0.38 0.31 35.05 19.86
cond2f.c 0.50 100 48.85 19.79
cond2s1f.c 0.55 100 51.17 20.16
cond2s2f.c 0.61 100 100 19.64
condgf.c 0.48 0.36 35.13 19.36
condif.c 0.30 0.23 16.39 17.01
condmf.c 0.27 0.22 16.73 17.08
condnf.c 0.29 0.22 16.30 17.18
condnl1f.c 0.53 100 100 19.46
conds2f.c 0.52 100 100 19.81
condscf.c 0.49 0.40 21.58 19.97
condsf.c 0.46 0.36 30.87 19.60
condss1f.c 0.78 100 51.71 25.24
condss2f.c 0.78 100 100 83.03
condss3f.c 0.69 0.57 22.35 26.22
condssf.c 0.68 0.53 100 24.56
modnf.c 0.29 0.22 28.34 15.83
modpf.c 0.26 0.22 30.77 15.55
modsf.c 0.59 0.45 36.56 79.79
ms1f.c 0.27 0.21 21.02 13.87
ms2f.c 0.25 0.18 21.40 13.92
ms3f.c 0.26 0.20 21.12 14.18
ms4f.c 0.25 0.21 21.52 13.52
ms5f.c 0.26 0.20 21.29 13.54
nested-as1f.c 0.57 100 49.19 100
nested-as2f.c 0.55 100 37.76 100
nested-as3f.c 0.57 100 48.58 100
nested-nli1f.c 0.25 100 17.09 100
nested-nli2f.c 0.25 100 17.18 100
nested-nli3f.c 0.27 100 16.87 100
nested-nlj1f.c 100 100 17.05 100
nested-nlj2f.c 100 100 16.80 100
nested-nlj3f.c 100 100 16.85 100
nested-nsna1f.c 0.47 100 44.51 100
nested-nsna2f.c 0.46 100 55.69 100
nested-nsna3f.c 0.46 100 100 100
nested-sa1.c 0.40 100 36.09 100
nested-sna1f.c 0.45 100 37.26 100
nested-sna2f.c 0.46 100 47.83 100
nested-sna3f.c 0.46 100 45.03 100
nested-ss1f.c 0.74 100 49.84 100
nested-ss2f.c 0.83 100 41.94 100
nested-ss3f.c 0.77 100 49.75 100
nested-sumf.c 0.18 100 32.57 100
nested-unb1f.c 0.29 100 17.01 100
nested-unb2f.c 0.30 100 16.88 100
nested-unb3f.c 0.29 100 16.86 100
