Benchmark Diffy Vajra VeriAbs VIAP
cond1.c 0.62 100 100 75.59
cond2.c 0.69 100 100 100
cond2s1.c 0.78 100 100 32.80
cond2s2.c 0.82 100 100 100
condg.c 0.55 100 100 77.11
condi.c 0.32 100 11.21 19.53
condm.c 0.33 100 11.29 45.30
condn.c 0.32 100 11.69 19.79
condnl1.c 0.71 100 100 100
conds2.c 0.73 100 100 76.73
conds.c 0.53 100 31.56 100
condsc.c 0.56 100 100 100
condss1.c 0.80 100 100 100
condss2.c 0.82 100 100 82.96
condss3.c 0.76 100 100 100
condss.c 0.76 100 100 82.55
modn.c 100 100 100 74.80
modp.c 100 100 100 73.30
mods.c 100 100 29.63 79.47
ms1.c 0.34 100 100 69.05
ms2.c 0.30 100 100 68.96
ms3.c 0.30 100 100 68.75
ms4.c 0.32 100 100 69.00
ms5.c 0.32 100 100 68.75
nested-as1.c 0.63 100 100 100
nested-as2.c 0.62 100 100 100
nested-as3.c 0.62 100 100 100
nested-nli1.c 0.27 100 11.44 100
nested-nli2.c 0.29 100 11.51 100
nested-nli3.c 0.32 100 11.45 100
nested-nlj1.c 100 100 11.39 100
nested-nlj2.c 100 100 11.64 100
nested-nlj3.c 100 100 11.24 100
nested-nsna1.c 0.50 100 100 100
nested-nsna2.c 0.50 100 100 100
nested-nsna3.c 0.49 100 100 100
nested-sa1.c 0.44 100 100 100
nested-sna1.c 0.47 100 100 100
nested-sna2.c 0.49 100 100 100
nested-sna3.c 0.50 100 100 100
nested-ss1.c 0.85 100 100 100
nested-ss2.c 0.83 100 100 100
nested-ss3.c 0.82 100 100 100
nested-sum.c 0.20 100 100 100
nested-unb1.c 0.31 100 11.30 100
nested-unb2.c 0.33 100 11.18 100
nested-unb3.c 0.33 100 11.48 100
